CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0.62,1.52,-1.1,-0.09,-0.0,-1.23,0.81,0.65,-1.03,1.68,Yes
-0.08,-0.9,0.91,-0.66,-1.04,0.65,-0.91,0.65,0.97,0.46,No
0.5,-0.9,0.91,0.77,-0.35,0.81,-0.91,0.65,0.97,-0.14,Yes
0.97,0.31,-1.1,1.91,0.69,0.32,0.81,0.65,-1.03,-1.11,No
1.28,1.52,0.91,-0.95,-0.35,0.03,0.81,0.65,-1.03,-0.55,No
0.48,-0.9,-1.1,-0.56,-0.7,-1.23,0.81,0.65,-1.03,1.66,No
-1.69,0.31,-1.1,0.2,1.03,0.85,0.81,-1.55,-1.03,1.64,Yes
1.17,-0.9,0.91,1.72,0.34,1.66,-0.91,0.65,0.97,1.59,No
1.25,-0.9,-1.1,2.39,-1.39,0.94,2.53,0.65,0.97,-0.25,Yes
-0.26,1.52,-1.1,-0.66,-1.04,0.87,-0.91,-1.55,0.97,0.68,No
-1.18,0.31,0.91,-0.76,-1.39,0.26,-0.91,-1.55,0.97,0.09,No
-2.21,-0.9,0.91,0.77,-1.39,-1.23,0.81,-1.55,0.97,-1.13,Yes
-0.17,0.31,-1.1,-0.95,-1.04,0.35,0.81,-1.55,0.97,1.25,No
2.06,0.31,-1.1,-0.18,1.38,0.98,0.81,0.65,0.97,-1.55,No
-0.64,1.52,-1.1,0.48,-0.35,0.82,0.81,0.65,0.97,-0.02,No
-0.69,0.31,0.91,0.2,-0.0,0.5,-0.91,0.65,0.97,-0.74,No
0.28,-0.9,0.91,2.68,0.34,1.78,0.81,-1.55,0.97,-0.75,Yes
-1.3,0.31,-1.1,-1.04,-1.39,0.66,-0.91,0.65,-1.03,0.94,Yes
1.48,1.52,0.91,0.01,0.69,-1.23,-0.91,-1.55,-1.03,-1.15,Yes
0.68,1.52,0.91,-0.76,-1.04,0.86,-0.91,0.65,-1.03,-1.68,No
-0.54,1.52,-1.1,0.39,0.69,-1.23,-0.91,0.65,-1.03,-1.03,Yes
2.06,1.52,0.91,0.58,0.69,0.31,0.81,0.65,-1.03,-0.57,No
-0.52,0.31,0.91,1.53,-0.35,1.02,2.53,0.65,-1.03,1.6,Yes
-0.38,-0.9,-1.1,0.29,-1.04,-0.17,-0.91,-1.55,0.97,-0.51,Yes
0.51,0.31,-1.1,-0.56,-1.04,0.1,-0.91,0.65,-1.03,-1.46,Yes
0.58,1.52,0.91,0.96,-0.0,-1.23,-0.91,-1.55,-1.03,0.73,Yes
0.79,0.31,0.91,0.77,1.72,-0.2,-0.91,0.65,0.97,-1.37,Yes
0.29,-0.9,0.91,-0.85,0.34,0.31,-0.91,-1.55,0.97,0.66,No
0.19,0.31,0.91,-1.52,-0.7,0.44,-0.91,0.65,0.97,-0.07,No
-0.11,-0.9,-1.1,-0.95,-1.04,0.55,-0.91,0.65,-1.03,-1.65,No
-0.0,-0.9,0.91,-0.56,0.34,1.58,0.81,0.65,0.97,-1.14,No
0.67,0.31,-1.1,2.58,0.69,0.35,-0.91,0.65,0.97,0.83,Yes
0.24,-0.9,0.91,-1.04,0.34,-1.23,0.81,0.65,-1.03,0.46,No
-1.28,1.52,0.91,-0.28,-1.39,-0.07,0.81,-1.55,-1.03,-0.04,No
0.67,1.52,-1.1,-0.37,-1.39,0.33,0.81,0.65,-1.03,-1.47,No
-1.53,1.52,0.91,-0.47,0.69,-1.23,-0.91,0.65,-1.03,0.46,No
0.23,1.52,-1.1,0.87,1.38,-1.23,0.81,0.65,0.97,0.91,No
-0.44,0.31,-1.1,0.48,1.38,-0.58,0.81,0.65,-1.03,1.65,Yes
-0.14,-0.9,0.91,1.15,1.03,1.19,-0.91,0.65,0.97,0.02,Yes
-0.26,-0.9,0.91,0.87,-0.0,1.41,0.81,0.65,-1.03,0.06,Yes
-0.04,-0.9,0.91,-1.14,-1.39,0.51,-0.91,0.65,0.97,1.35,No
1.51,1.52,-1.1,-0.56,-0.7,0.25,-0.91,-1.55,-1.03,-1.03,No
0.78,-0.9,-1.1,-1.14,-1.39,0.46,-0.91,-1.55,0.97,1.53,No
0.32,0.31,0.91,1.63,1.38,0.95,-0.91,0.65,-1.03,-0.7,Yes
-1.8,-0.9,-1.1,1.15,-0.35,-1.23,0.81,0.65,-1.03,-0.94,Yes
1.29,1.52,-1.1,2.67,-0.35,0.15,-0.91,0.65,0.97,1.58,No
-1.21,0.31,0.91,-0.47,0.34,0.78,0.81,0.65,0.97,1.04,No
-0.73,1.52,0.91,1.73,-1.39,0.08,2.53,0.65,0.97,1.22,Yes
-0.13,-0.9,-1.1,0.77,-1.39,-1.23,0.81,-1.55,-1.03,1.19,No
-0.24,1.52,-1.1,1.82,-0.0,1.1,0.81,0.65,0.97,-0.11,No
-1.7,0.31,0.91,-0.95,-0.7,0.22,2.53,0.65,-1.03,-0.69,Yes
0.28,-0.9,0.91,-0.47,-0.7,1.49,2.53,0.65,0.97,-0.42,Yes
-0.56,-0.9,-1.1,1.72,-1.04,-1.23,0.81,0.65,0.97,0.88,Yes
-0.36,-0.9,0.91,2.41,0.69,1.27,-0.91,0.65,0.97,-0.05,Yes
1.7,-0.9,0.91,-1.33,-1.39,0.38,-0.91,0.65,0.97,1.11,No
-1.04,1.52,0.91,-1.04,-1.04,-1.23,-0.91,0.65,-1.03,0.97,Yes
-0.09,0.31,-1.1,1.91,-0.7,0.04,-0.91,0.65,0.97,-0.89,Yes
-0.86,-0.9,-1.1,-0.85,-1.39,-1.23,0.81,-1.55,0.97,-1.48,No
-1.48,-0.9,-1.1,-0.95,-1.73,0.98,0.81,0.65,0.97,-0.53,No
-0.35,-0.9,0.91,0.58,-0.7,-1.23,-0.91,0.65,0.97,1.28,No
2.03,0.31,0.91,1.06,-1.39,0.18,-0.91,0.65,-1.03,-0.72,Yes
0.16,-0.9,0.91,-0.37,1.03,0.9,-0.91,0.65,0.97,-0.74,No
2.06,-0.9,0.91,2.01,0.34,1.25,-0.91,-1.55,0.97,1.42,No
0.1,-0.9,0.91,-0.85,0.34,-1.23,-0.91,0.65,0.97,1.59,Yes
-0.29,0.31,-1.1,0.29,-0.35,0.85,0.81,-1.55,0.97,-0.91,No
0.38,0.31,0.91,-0.37,-1.04,0.84,0.81,0.65,-1.03,-0.81,No
-0.49,1.52,-1.1,0.39,0.34,1.67,4.25,0.65,-1.03,0.51,Yes
0.77,-0.9,0.91,-1.14,-0.7,-0.42,-0.91,0.65,-1.03,-0.93,No
-0.56,-0.9,-1.1,0.67,0.34,-1.23,4.25,-1.55,-1.03,0.33,Yes
-0.05,-0.9,0.91,0.77,0.69,1.27,-0.91,0.65,0.97,-0.64,Yes
0.67,0.31,-1.1,-0.66,-1.73,0.83,-0.91,0.65,0.97,-1.67,No
-0.55,1.52,-1.1,-0.56,-1.73,-1.23,0.81,-1.55,0.97,-1.63,No
-0.1,0.31,0.91,0.67,-1.73,0.4,-0.91,0.65,-1.03,0.19,Yes
-1.73,0.31,0.91,1.34,-0.7,0.14,-0.91,0.65,0.97,-1.64,Yes
0.27,-0.9,0.91,-0.37,-1.39,0.43,-0.91,-1.55,-1.03,0.67,Yes
0.1,0.31,-1.1,-0.09,1.03,0.68,-0.91,0.65,-1.03,-1.62,No
-1.48,-0.9,0.91,3.63,-0.0,-1.23,0.81,0.65,0.97,0.34,No
0.24,0.31,-1.1,2.39,-0.35,0.86,-0.91,0.65,-1.03,0.71,Yes
-0.23,-0.9,-1.1,1.72,-0.0,-1.23,0.81,0.65,-1.03,-0.45,Yes
1.59,0.31,0.91,2.11,-0.7,0.72,0.81,0.65,-1.03,1.52,Yes
-0.64,-0.9,-1.1,0.58,1.03,0.03,-0.91,-1.55,0.97,0.67,Yes
1.64,-0.9,-1.1,3.72,-0.7,-1.23,0.81,0.65,0.97,0.25,No
0.34,1.52,-1.1,0.48,-0.35,-1.23,0.81,-1.55,-1.03,-0.04,Yes
1.09,0.31,0.91,-0.85,-1.73,0.32,-0.91,-1.55,-1.03,1.02,Yes
1.61,1.52,0.91,0.2,-1.73,-0.39,-0.91,-1.55,0.97,0.93,Yes
1.66,0.31,0.91,0.01,1.03,0.82,0.81,0.65,-1.03,0.62,Yes
-0.76,0.31,-1.1,2.29,1.72,1.16,-0.91,0.65,-1.03,-1.58,No
-1.45,0.31,-1.1,0.77,1.38,-0.2,-0.91,-1.55,0.97,0.06,Yes
-0.13,0.31,0.91,0.39,-0.35,0.7,-0.91,0.65,-1.03,-0.94,Yes
0.18,1.52,-1.1,-0.66,-1.73,-0.13,-0.91,0.65,0.97,-1.47,No
0.11,-0.9,-1.1,1.06,1.03,0.33,-0.91,0.65,-1.03,0.76,Yes
2.06,0.31,-1.1,-0.37,-0.7,0.71,0.81,-1.55,-1.03,0.77,Yes
-1.74,-0.9,-1.1,0.01,-0.0,1.66,-0.91,0.65,-1.03,0.2,No
-0.15,1.52,-1.1,0.2,0.34,0.74,-0.91,0.65,-1.03,1.73,No
-0.39,-0.9,0.91,-1.14,-1.39,0.54,0.81,0.65,-1.03,1.73,Yes
-0.7,0.31,0.91,-0.18,1.03,1.1,0.81,0.65,0.97,-0.85,No
0.16,-0.9,0.91,0.29,1.03,0.64,-0.91,-1.55,-1.03,-0.69,No
-0.28,-0.9,-1.1,-1.23,-1.73,0.39,-0.91,0.65,0.97,0.32,Yes
-0.3,1.52,0.91,0.48,-0.0,0.3,-0.91,0.65,-1.03,0.0,Yes
-0.14,0.31,-1.1,-0.18,0.34,1.18,0.81,0.65,-1.03,0.76,No
0.67,1.52,-1.1,0.01,-0.7,-1.23,0.81,0.65,-1.03,-0.01,No
-0.14,0.31,0.91,-0.56,-1.39,0.17,0.81,0.65,0.97,-1.67,No
1.49,0.31,-1.1,0.67,1.03,1.36,-0.91,-1.55,-1.03,-0.32,Yes
-2.54,1.52,0.91,0.29,1.38,-1.23,4.25,0.65,-1.03,-0.76,Yes
-0.93,0.31,0.91,-1.99,-0.0,1.16,2.53,-1.55,-1.03,1.27,No
-0.57,-0.9,-1.1,-0.66,-0.7,0.01,-0.91,0.65,0.97,-1.56,No
1.02,0.31,-1.1,0.29,-0.7,0.86,0.81,0.65,0.97,0.18,No
-2.02,-0.9,0.91,2.11,1.03,0.66,0.81,0.65,-1.03,0.95,No
-0.88,1.52,0.91,-0.37,0.69,-1.23,-0.91,0.65,-1.03,0.86,No
1.35,0.31,-1.1,0.29,-0.35,0.73,2.53,0.65,-1.03,1.53,Yes
-0.69,-0.9,-1.1,-0.47,-1.04,-1.23,0.81,0.65,-1.03,-0.27,No
0.78,1.52,-1.1,1.91,0.69,0.74,-0.91,0.65,-1.03,-0.05,Yes
0.03,0.31,0.91,0.87,1.38,-0.0,-0.91,0.65,-1.03,0.49,No
1.28,1.52,-1.1,1.82,-1.39,1.08,-0.91,0.65,0.97,0.65,Yes
0.53,-0.9,-1.1,0.01,-1.73,-1.23,0.81,0.65,0.97,1.06,No
-1.62,0.31,0.91,1.25,1.38,1.01,-0.91,0.65,0.97,-0.89,Yes
1.42,-0.9,0.91,-1.9,-0.35,1.4,-0.91,-1.55,-1.03,0.52,No
-1.29,0.31,0.91,2.77,1.38,0.63,0.81,-1.55,-1.03,-1.53,No
1.5,1.52,-1.1,0.58,1.03,-1.23,-0.91,0.65,0.97,-1.07,Yes
0.56,1.52,0.91,-0.18,-1.73,-1.23,-0.91,-1.55,0.97,-1.5,Yes
-0.02,0.31,-1.1,1.53,0.69,0.54,2.53,0.65,0.97,0.29,No
-0.24,-0.9,-1.1,0.39,-1.39,1.0,0.81,-1.55,0.97,1.32,No
-3.0,0.31,0.91,1.63,0.69,0.35,-0.91,0.65,-1.03,-0.55,Yes
-1.09,1.52,-1.1,-1.04,-1.04,0.42,0.81,-1.55,-1.03,0.91,Yes
-0.29,-0.9,-1.1,-1.14,-1.73,0.31,-0.91,0.65,0.97,1.54,Yes
-0.18,0.31,-1.1,0.1,1.03,0.14,2.53,0.65,-1.03,-0.55,Yes
-0.24,0.31,0.91,0.67,0.34,0.05,-0.91,-1.55,0.97,-0.42,No
-1.1,-0.9,0.91,-0.76,0.69,-1.23,0.81,-1.55,0.97,-0.48,No
2.06,-0.9,-1.1,0.1,-1.04,-1.23,0.81,0.65,0.97,-1.45,No
2.06,1.52,0.91,-0.56,1.38,-1.23,0.81,-1.55,-1.03,-0.61,No
1.49,1.52,0.91,1.2,1.03,0.75,-0.91,-1.55,-1.03,-1.29,Yes
-1.25,-0.9,0.91,0.39,-1.04,0.5,-0.91,0.65,-1.03,-1.27,Yes
0.26,1.52,-1.1,0.2,0.69,-1.23,0.81,0.65,0.97,-0.98,Yes
0.9,0.31,0.91,0.1,1.72,0.93,0.81,0.65,0.97,-0.64,Yes
-1.92,-0.9,-1.1,-1.33,-0.0,-1.23,0.81,-1.55,0.97,0.69,No
1.15,-0.9,-1.1,0.96,1.72,0.25,-0.91,-1.55,0.97,0.87,No
-0.46,-0.9,0.91,2.58,1.03,-1.23,0.81,0.65,-1.03,-0.21,Yes
-2.12,-0.9,-1.1,1.53,-0.35,0.36,4.25,0.65,-1.03,0.4,Yes
0.47,-0.9,0.91,0.01,-1.39,-1.23,-0.91,0.65,-1.03,-1.6,Yes
1.76,0.31,0.91,0.1,-0.35,0.59,-0.91,0.65,-1.03,-0.81,Yes
1.48,-0.9,-1.1,2.01,-0.35,-1.23,-0.91,0.65,0.97,-0.53,Yes
0.99,1.52,0.91,-0.66,-0.7,0.88,-0.91,0.65,0.97,-0.43,No
0.06,1.52,0.91,2.39,0.69,0.16,-0.91,0.65,-1.03,-1.44,No
-0.38,0.31,-1.1,-0.76,1.72,0.68,0.81,-1.55,0.97,-0.39,No
-1.06,1.52,-1.1,-1.42,-0.7,0.51,-0.91,0.65,-1.03,1.59,Yes
0.94,1.52,0.91,0.48,-0.7,-1.23,0.81,-1.55,-1.03,-0.05,No
0.07,1.52,-1.1,0.39,1.03,0.36,-0.91,-1.55,-1.03,0.41,Yes
0.4,-0.9,0.91,1.15,0.69,0.52,-0.91,0.65,0.97,0.28,Yes
0.93,-0.9,0.91,0.1,0.34,-1.23,-0.91,0.65,0.97,-0.78,Yes
-0.45,1.52,-1.1,-0.85,0.69,0.06,-0.91,0.65,-1.03,0.23,No
-0.62,1.52,-1.1,0.87,1.72,-1.23,0.81,0.65,-1.03,0.37,No
1.8,1.52,-1.1,-1.04,0.69,1.93,-0.91,-1.55,0.97,0.51,No
0.08,-0.9,-1.1,-0.18,0.69,-1.23,0.81,0.65,-1.03,-1.21,No
-0.68,0.31,-1.1,-0.66,-1.39,0.99,0.81,0.65,-1.03,0.21,No
0.78,-0.9,-1.1,0.58,0.69,1.15,-0.91,0.65,0.97,-0.13,No
1.07,-0.9,-1.1,0.1,-1.39,-1.23,-0.91,0.65,-1.03,1.48,No
-1.23,1.52,-1.1,1.53,1.03,0.71,-0.91,0.65,-1.03,-0.32,Yes
1.49,-0.9,-1.1,-0.28,1.72,-1.23,0.81,0.65,0.97,-0.16,No
-1.2,0.31,0.91,-0.37,0.34,0.77,0.81,-1.55,-1.03,-0.83,Yes
-1.2,0.31,-1.1,1.25,-0.7,0.67,0.81,0.65,-1.03,1.16,No
0.71,0.31,0.91,2.39,1.38,1.32,2.53,0.65,-1.03,-1.6,Yes
1.05,0.31,0.91,2.2,0.69,0.45,-0.91,-1.55,-1.03,0.04,Yes
-0.46,1.52,-1.1,3.06,-0.7,0.85,-0.91,0.65,0.97,1.64,No
0.73,-0.9,0.91,0.01,1.72,1.0,-0.91,0.65,-1.03,0.49,No
2.06,0.31,-1.1,-0.28,-1.04,1.39,-0.91,0.65,-1.03,-0.34,No
-1.58,-0.9,0.91,-0.47,-0.35,-1.23,0.81,0.65,-1.03,0.35,No
-0.36,0.31,-1.1,-0.37,-0.0,1.04,0.81,0.65,-1.03,1.25,No
0.06,-0.9,0.91,-0.28,-1.73,-1.23,0.81,0.65,0.97,0.79,No
-0.03,1.52,-1.1,-0.28,-0.0,0.67,-0.91,0.65,0.97,-1.09,Yes
-0.61,0.31,-1.1,-0.85,-0.0,0.67,0.81,-1.55,-1.03,-0.97,No
-0.86,-0.9,0.91,0.87,0.34,0.25,-0.91,0.65,0.97,0.73,Yes
0.28,1.52,-1.1,-0.18,0.34,-1.23,2.53,0.65,-1.03,-1.01,Yes
-0.49,-0.9,0.91,2.3,-0.0,0.4,-0.91,0.65,0.97,0.63,No
0.44,-0.9,0.91,-0.28,1.72,-1.23,0.81,0.65,-1.03,-0.71,No
-0.21,-0.9,-1.1,-1.23,1.03,-1.23,0.81,-1.55,-1.03,1.67,Yes
-1.07,0.31,0.91,-0.85,-1.04,1.29,0.81,0.65,-1.03,0.91,No
-2.41,-0.9,-1.1,0.1,-0.7,0.9,-0.91,-1.55,-1.03,1.25,Yes
-1.77,1.52,0.91,1.63,0.34,-1.03,0.81,0.65,0.97,1.0,No
0.08,1.52,0.91,2.77,1.72,1.7,-0.91,-1.55,0.97,0.44,Yes
-0.02,0.31,-1.1,1.25,-1.39,0.29,-0.91,0.65,0.97,0.69,Yes
0.82,-0.9,0.91,-0.28,-0.7,0.66,-0.91,0.65,-1.03,0.17,No
0.75,-0.9,0.91,-1.8,-1.04,-1.23,0.81,0.65,0.97,-1.04,No
-0.76,0.31,0.91,1.73,-1.39,0.79,2.53,0.65,-1.03,-0.67,Yes
1.21,0.31,-1.1,0.2,-0.0,1.25,4.25,0.65,-1.03,-1.66,Yes
-1.17,-0.9,-1.1,0.1,0.34,0.26,-0.91,-1.55,-1.03,-0.69,Yes
-0.07,0.31,-1.1,0.2,-0.35,0.51,2.53,0.65,-1.03,0.43,Yes
1.38,0.31,-1.1,1.82,1.38,0.5,-0.91,0.65,0.97,-0.08,Yes
-1.71,-0.9,-1.1,0.77,-0.35,-1.23,-0.91,-1.55,-1.03,0.2,Yes
-0.08,1.52,-1.1,0.67,0.34,-1.23,-0.91,0.65,-1.03,0.59,Yes
-0.97,1.52,0.91,0.96,-1.39,0.13,-0.91,0.65,0.97,-1.52,Yes
1.56,-0.9,0.91,0.58,0.69,1.14,-0.91,0.65,0.97,-0.89,No
-0.01,-0.9,0.91,-1.23,-0.35,0.28,-0.91,0.65,-1.03,1.17,Yes
1.29,-0.9,-1.1,-1.04,-0.7,0.41,0.81,0.65,-1.03,-1.74,No
-0.66,1.52,-1.1,2.3,-0.0,-1.23,2.53,-1.55,-1.03,-0.17,No
-0.02,0.31,0.91,0.39,1.03,0.81,0.81,-1.55,-1.03,0.57,Yes
0.19,0.31,-1.1,-0.09,0.69,0.57,-0.91,-1.55,0.97,0.74,Yes
-0.49,1.52,-1.1,-0.56,0.69,1.14,-0.91,0.65,0.97,-0.75,No
-1.43,1.52,-1.1,1.91,-0.7,0.81,2.53,0.65,-1.03,1.2,Yes
-0.24,-0.9,-1.1,0.77,-0.0,-1.23,-0.91,0.65,-1.03,0.55,Yes
-1.41,1.52,0.91,0.01,1.72,-1.23,-0.91,0.65,-1.03,0.4,Yes
-0.28,0.31,-1.1,-0.85,0.34,0.39,-0.91,-1.55,-1.03,-1.15,Yes
-0.71,0.31,0.91,-1.04,1.03,0.73,-0.91,0.65,0.97,1.71,No
0.52,1.52,-1.1,-1.33,-0.7,-1.23,0.81,0.65,0.97,-0.76,No
2.06,1.52,0.91,-1.04,-0.0,0.82,-0.91,0.65,-1.03,-0.32,No
-0.8,1.52,0.91,0.01,1.03,0.75,-0.91,-1.55,-1.03,1.42,No
1.61,0.31,-1.1,0.29,-1.04,0.67,-0.91,0.65,-1.03,1.36,No
0.2,1.52,0.91,-0.76,-1.73,0.43,0.81,0.65,-1.03,-0.91,No
-0.89,1.52,0.91,-1.91,-1.39,0.27,-0.91,0.65,0.97,1.34,No
0.45,1.52,-1.1,0.48,-1.73,0.4,-0.91,-1.55,0.97,0.51,Yes
0.58,-0.9,-1.1,1.73,1.72,-1.23,2.53,0.65,-1.03,-1.69,Yes
0.7,-0.9,0.91,0.49,-0.35,0.62,-0.91,0.65,-1.03,0.31,Yes
-1.24,0.31,-1.1,0.96,-0.7,1.0,-0.91,0.65,0.97,1.24,Yes
1.65,-0.9,0.91,-0.09,1.03,0.75,-0.91,0.65,-1.03,-0.17,No
-0.6,-0.9,0.91,-0.56,-0.7,-1.23,0.81,-1.55,-1.03,-1.1,No
-2.3,0.31,0.91,-0.28,0.69,0.81,0.81,-1.55,-1.03,0.71,No
1.21,1.52,0.91,-1.61,0.34,-1.23,0.81,0.65,-1.03,-0.18,No
1.29,1.52,0.91,-0.85,-1.04,-1.23,0.81,0.65,0.97,-1.22,No
-0.19,0.31,-1.1,-0.47,0.69,0.36,0.81,-1.55,0.97,-0.09,No
-0.03,1.52,-1.1,2.48,-0.7,0.48,-0.91,0.65,-1.03,0.76,No
2.06,0.31,0.91,0.77,1.03,0.8,-0.91,0.65,0.97,-1.15,Yes
-1.02,-0.9,0.91,0.1,-1.04,-1.23,2.53,0.65,-1.03,0.7,Yes
1.61,-0.9,-1.1,-0.76,1.38,0.33,-0.91,-1.55,0.97,-1.23,No
-0.38,0.31,-1.1,3.82,0.34,1.07,-0.91,0.65,0.97,-0.02,No
-0.37,-0.9,0.91,0.67,0.34,-1.23,-0.91,0.65,0.97,-1.58,Yes
-0.93,0.31,0.91,-0.28,-0.0,0.69,-0.91,-1.55,-1.03,-0.16,Yes
0.91,-0.9,0.91,0.01,-1.04,-1.23,0.81,0.65,0.97,0.26,Yes
-0.02,0.31,-1.1,1.25,-0.7,1.03,0.81,0.65,-1.03,-0.94,Yes
0.17,0.31,-1.1,0.67,-1.04,1.03,-0.91,0.65,0.97,0.7,No
1.71,0.31,0.91,2.4,-0.7,1.13,-0.91,0.65,-1.03,0.9,Yes
-0.17,-0.9,-1.1,0.01,-0.35,-1.23,-0.91,0.65,0.97,-0.8,No
-0.67,0.31,-1.1,0.87,1.03,0.65,0.81,0.65,0.97,1.05,Yes
-1.83,1.52,-1.1,2.3,-1.39,0.71,-0.91,-1.55,0.97,0.56,Yes
-0.75,-0.9,-1.1,2.11,1.38,0.69,2.53,0.65,0.97,0.49,Yes
0.45,-0.9,-1.1,-0.37,1.72,0.15,0.81,0.65,0.97,1.1,No
1.19,0.31,0.91,2.68,1.03,0.36,-0.91,-1.55,0.97,-1.46,Yes
-1.5,-0.9,-1.1,-1.23,-0.35,-1.23,0.81,-1.55,0.97,-0.78,No
-1.23,-0.9,0.91,-0.28,1.03,1.23,-0.91,0.65,-1.03,1.5,Yes
0.9,-0.9,0.91,0.48,-0.35,-1.23,0.81,0.65,0.97,1.34,Yes
-0.09,1.52,-1.1,0.58,1.72,1.16,2.53,0.65,-1.03,1.15,Yes
1.27,-0.9,-1.1,0.39,1.72,0.54,-0.91,0.65,-1.03,-0.72,No
-0.68,0.31,0.91,0.58,0.34,1.19,-0.91,0.65,0.97,0.14,Yes
-1.22,-0.9,0.91,-0.47,-1.39,-1.23,-0.91,-1.55,-1.03,1.09,Yes
1.79,0.31,0.91,-0.85,-0.0,0.22,0.81,-1.55,0.97,-0.25,No
0.67,0.31,-1.1,-1.04,0.69,1.36,0.81,0.65,-1.03,-1.07,No
-0.35,-0.9,-1.1,-0.47,-1.39,-1.23,-0.91,0.65,0.97,-1.15,Yes
-0.11,-0.9,0.91,-0.66,-0.0,-1.23,0.81,0.65,-1.03,-0.34,No
-0.14,0.31,-1.1,-0.85,-0.0,1.71,0.81,0.65,-1.03,0.19,No
1.35,0.31,0.91,-0.09,-0.35,0.36,0.81,0.65,0.97,0.35,No
0.14,-0.9,-1.1,-0.66,-0.0,-1.23,0.81,-1.55,0.97,-1.4,No
0.75,-0.9,-1.1,-0.47,-0.7,0.69,-0.91,-1.55,-1.03,0.4,No
0.5,1.52,-1.1,0.39,-0.7,-1.23,0.81,0.65,0.97,-1.27,No
0.34,0.31,-1.1,-1.52,0.69,-0.02,0.81,0.65,-1.03,0.82,No
-0.96,0.31,0.91,-0.28,1.72,0.9,2.53,0.65,-1.03,-0.18,Yes
0.71,1.52,0.91,0.29,-0.7,-1.23,-0.91,0.65,-1.03,1.35,Yes
0.07,-0.9,-1.1,0.39,0.34,0.98,-0.91,0.65,-1.03,-0.53,Yes
-0.66,-0.9,-1.1,1.63,-0.7,0.67,-0.91,0.65,-1.03,-0.1,Yes
2.06,-0.9,0.91,0.2,-0.35,-1.23,-0.91,0.65,0.97,1.7,Yes
-0.6,1.52,-1.1,0.01,-0.35,0.57,-0.91,0.65,-1.03,-1.12,No
-1.49,-0.9,-1.1,-0.09,1.38,-0.29,2.53,-1.55,0.97,-1.06,No
0.16,0.31,0.91,-0.85,-1.73,0.42,-0.91,-1.55,0.97,0.66,No
-1.16,0.31,-1.1,-0.95,1.72,0.69,-0.91,-1.55,0.97,-0.7,Yes
0.41,-0.9,0.91,0.2,1.03,0.14,-0.91,0.65,0.97,-0.82,No
2.06,1.52,0.91,-0.37,-0.0,-1.23,0.81,-1.55,-1.03,0.75,No
1.26,1.52,0.91,-0.76,-1.39,-1.23,2.53,0.65,0.97,-1.26,Yes
1.42,0.31,0.91,-0.66,0.69,0.73,-0.91,0.65,0.97,1.31,Yes
1.17,1.52,-1.1,-0.18,0.34,1.61,0.81,0.65,-1.03,0.82,No
0.0,1.52,-1.1,-0.56,1.38,-1.23,2.53,0.65,0.97,1.24,No
-1.06,-0.9,0.91,0.58,-1.73,1.07,-0.91,0.65,0.97,0.91,No
0.43,-0.9,0.91,0.77,0.34,0.86,0.81,0.65,0.97,0.67,No
1.52,-0.9,0.91,-0.28,0.69,-1.23,0.81,0.65,-1.03,0.03,Yes
0.62,-0.9,0.91,-1.14,-1.04,-0.64,-0.91,-1.55,0.97,-0.28,No
1.53,1.52,-1.1,-0.85,-0.0,0.8,-0.91,0.65,-1.03,0.46,No
0.77,-0.9,-1.1,-0.95,-0.0,1.26,0.81,0.65,0.97,0.18,No
0.47,1.52,0.91,1.25,0.34,0.72,0.81,0.65,-1.03,-0.6,Yes
0.52,1.52,-1.1,1.44,-1.73,1.48,-0.91,-1.55,-1.03,-0.87,Yes
-0.94,1.52,0.91,-1.04,-0.7,-1.23,-0.91,0.65,-1.03,-0.08,No
1.05,1.52,0.91,0.01,1.38,-1.23,0.81,-1.55,0.97,1.7,No
0.1,0.31,0.91,0.67,-1.39,1.45,-0.91,0.65,-1.03,-0.96,Yes
-0.83,1.52,0.91,0.01,-0.0,0.45,-0.91,-1.55,0.97,0.63,Yes
0.29,0.31,-1.1,-0.56,-0.0,1.72,-0.91,0.65,0.97,1.23,Yes
1.93,-0.9,0.91,1.25,0.69,0.85,-0.91,0.65,0.97,-0.52,Yes
-0.52,0.31,-1.1,-1.04,1.38,0.61,0.81,-1.55,0.97,1.43,No
-1.16,-0.9,-1.1,2.11,-0.7,-1.23,0.81,-1.55,0.97,0.51,No
1.99,0.31,0.91,-0.76,-0.35,1.36,-0.91,0.65,-1.03,-0.34,No
1.35,-0.9,0.91,0.01,0.69,0.94,0.81,0.65,0.97,-1.73,Yes
-0.94,1.52,-1.1,1.44,0.69,0.44,0.81,0.65,0.97,0.23,No
0.53,-0.9,-1.1,1.15,1.38,1.06,-0.91,0.65,0.97,-1.47,No
0.68,1.52,0.91,1.06,1.03,0.38,0.81,-1.55,0.97,0.33,Yes
1.24,0.31,-1.1,0.01,-1.39,1.01,-0.91,0.65,-1.03,-1.24,Yes
-1.46,1.52,0.91,0.1,1.72,-1.23,-0.91,-1.55,0.97,0.07,Yes
-0.51,0.31,0.91,-0.56,0.69,1.43,-0.91,0.65,-1.03,-0.19,Yes
-1.61,-0.9,-1.1,-0.09,1.03,-1.23,0.81,0.65,0.97,-1.08,No
-0.69,-0.9,-1.1,-0.76,-0.0,-1.23,0.81,0.65,0.97,-0.26,No
